ax,ay,az,gx,gy,gz,label
-2.0,-254.0,-5.0,-85.0,-95.0,1.0,1
-3.0,-254.0,-7.0,-92.0,-94.0,-2.0,1
-7.0,-254.0,-6.0,-101.0,-93.0,-6.0,1
-7.0,-252.0,-9.0,-109.0,-90.0,-9.0,1
-11.0,-251.0,-12.0,-117.0,-89.0,-11.0,1
-9.0,-251.0,-11.0,-124.0,-87.0,-14.0,1
-10.0,-247.0,-9.0,-130.0,-81.0,-17.0,1
-11.0,-256.0,-9.0,-138.0,-77.0,-18.0,1
-5.0,-254.0,-4.0,-144.0,-71.0,-20.0,1
-9.0,-255.0,-8.0,-147.0,-64.0,-20.0,1
-7.0,-256.0,-6.0,-155.0,-58.0,-21.0,1
-7.0,-257.0,-14.0,-167.0,-52.0,-22.0,1
-6.0,-247.0,-10.0,-184.0,-49.0,-23.0,1
-4.0,-268.0,0.0,-203.0,-49.0,-24.0,1
1.0,-252.0,-14.0,-222.0,-49.0,-28.0,1
-1.0,-270.0,1.0,-237.0,-52.0,-30.0,1
-5.0,-261.0,-15.0,-248.0,-55.0,-34.0,1
-5.0,-262.0,-13.0,-256.0,-55.0,-36.0,1
-1.0,-258.0,-12.0,-257.0,-52.0,-39.0,1
-2.0,-262.0,-11.0,-254.0,-47.0,-43.0,1
-1.0,-263.0,-7.0,-246.0,-40.0,-44.0,1
-1.0,-260.0,-6.0,-235.0,-33.0,-47.0,1
0.0,-261.0,-8.0,-221.0,-23.0,-48.0,1
0.0,-261.0,-4.0,-206.0,-15.0,-52.0,1
-4.0,-255.0,-3.0,-188.0,-8.0,-54.0,1
0.0,-261.0,-11.0,-171.0,0.0,-57.0,1
10.0,-273.0,-3.0,-154.0,7.0,-62.0,1
1.0,-265.0,-5.0,-137.0,17.0,-65.0,1
0.0,-256.0,-15.0,-121.0,27.0,-68.0,1
-2.0,-276.0,-10.0,-107.0,37.0,-70.0,1
1.0,-266.0,-17.0,-100.0,49.0,-72.0,1
5.0,-263.0,-8.0,-95.0,62.0,-73.0,1
2.0,-260.0,-7.0,-95.0,75.0,-74.0,1
2.0,-262.0,-11.0,-97.0,90.0,-73.0,1
0.0,-261.0,-7.0,-96.0,104.0,-73.0,1
-14.0,-269.0,-22.0,-97.0,117.0,-76.0,1
0.0,-259.0,-9.0,-97.0,128.0,-76.0,1
-3.0,-258.0,-6.0,-98.0,135.0,-75.0,1
0.0,-258.0,-10.0,-97.0,142.0,-73.0,1
-1.0,-259.0,-8.0,-96.0,145.0,-72.0,1
-9.0,-261.0,5.0,-92.0,148.0,-69.0,1
-6.0,-254.0,-6.0,-89.0,151.0,-66.0,1
-7.0,-249.0,7.0,-86.0,155.0,-65.0,1
0.0,-249.0,-5.0,-83.0,159.0,-63.0,1
