ax,ay,az,gx,gy,gz,label
-14.0,-266.0,32.0,-13.0,63.0,-3.0,1
-14.0,-265.0,32.0,-13.0,64.0,-4.0,1
-12.0,-266.0,31.0,-12.0,66.0,-2.0,1
-12.0,-265.0,28.0,-11.0,68.0,-2.0,1
-13.0,-263.0,29.0,-11.0,67.0,1.0,1
-8.0,-263.0,28.0,-10.0,68.0,-1.0,1
-9.0,-267.0,29.0,-11.0,67.0,1.0,1
-14.0,-262.0,29.0,-11.0,64.0,0.0,1
-14.0,-266.0,32.0,-11.0,65.0,3.0,1
-15.0,-265.0,34.0,-11.0,63.0,2.0,1
-11.0,-264.0,31.0,-12.0,60.0,3.0,1
-14.0,-263.0,32.0,-12.0,60.0,1.0,1
-17.0,-266.0,29.0,-11.0,61.0,1.0,1
-13.0,-266.0,30.0,-13.0,62.0,2.0,1
-14.0,-268.0,34.0,-12.0,60.0,1.0,1
-18.0,-265.0,32.0,-11.0,60.0,0.0,1
-15.0,-268.0,30.0,-9.0,61.0,1.0,1
-12.0,-267.0,30.0,-9.0,62.0,-3.0,1
-14.0,-266.0,31.0,-7.0,63.0,-2.0,1
-13.0,-264.0,29.0,-7.0,63.0,-4.0,1
-12.0,-264.0,35.0,-7.0,62.0,-3.0,1
-13.0,-266.0,32.0,-6.0,63.0,-3.0,1
-12.0,-269.0,33.0,-5.0,63.0,-4.0,1
-11.0,-262.0,23.0,-4.0,63.0,-7.0,1
-8.0,-264.0,34.0,-6.0,60.0,-6.0,1
-5.0,-256.0,37.0,-7.0,61.0,-9.0,1
-8.0,-255.0,26.0,-7.0,59.0,-6.0,1
-12.0,-271.0,22.0,-7.0,60.0,-8.0,1
-14.0,-272.0,16.0,-6.0,59.0,-8.0,1
-16.0,-266.0,43.0,-7.0,60.0,-9.0,1
-21.0,-272.0,21.0,-9.0,59.0,-8.0,1
-11.0,-264.0,29.0,-9.0,60.0,-8.0,1
-14.0,-271.0,25.0,-8.0,61.0,-7.0,1
-16.0,-268.0,20.0,-8.0,60.0,-8.0,1
-10.0,-264.0,25.0,-9.0,61.0,-7.0,1
-21.0,-271.0,22.0,-9.0,60.0,-7.0,1
-9.0,-261.0,20.0,-9.0,63.0,-6.0,1
-15.0,-265.0,18.0,-8.0,63.0,-7.0,1
-15.0,-262.0,38.0,-8.0,61.0,-6.0,1
-21.0,-254.0,70.0,-9.0,59.0,-7.0,1
-16.0,-264.0,34.0,-8.0,61.0,-5.0,1
-11.0,-266.0,32.0,-8.0,58.0,-4.0,1
-12.0,-266.0,29.0,-8.0,57.0,-4.0,1
-12.0,-263.0,35.0,-6.0,58.0,-5.0,1
-17.0,-270.0,31.0,-5.0,58.0,-4.0,1
