ax,ay,az,gx,gy,gz,label
19.0,-264.0,11.0,-40.0,48.0,-5.0,1
22.0,-267.0,11.0,-41.0,48.0,-2.0,1
19.0,-269.0,14.0,-42.0,45.0,-4.0,1
18.0,-269.0,15.0,-45.0,42.0,-1.0,1
19.0,-268.0,11.0,-47.0,39.0,-2.0,1
14.0,-271.0,19.0,-51.0,35.0,1.0,1
15.0,-264.0,11.0,-53.0,33.0,1.0,1
15.0,-268.0,15.0,-55.0,32.0,3.0,1
10.0,-266.0,11.0,-56.0,30.0,2.0,1
9.0,-269.0,15.0,-56.0,29.0,6.0,1
8.0,-270.0,16.0,-56.0,26.0,5.0,1
11.0,-268.0,16.0,-57.0,24.0,8.0,1
10.0,-271.0,16.0,-58.0,20.0,8.0,1
10.0,-270.0,13.0,-57.0,20.0,15.0,1
9.0,-271.0,19.0,-58.0,19.0,16.0,1
11.0,-268.0,18.0,-58.0,18.0,20.0,1
11.0,-267.0,13.0,-60.0,15.0,22.0,1
11.0,-268.0,18.0,-60.0,13.0,28.0,1
7.0,-265.0,19.0,-60.0,13.0,28.0,1
7.0,-265.0,24.0,-60.0,11.0,33.0,1
11.0,-263.0,25.0,-62.0,8.0,31.0,1
10.0,-265.0,22.0,-63.0,6.0,33.0,1
17.0,-265.0,33.0,-68.0,3.0,32.0,1
2.0,-260.0,34.0,-77.0,1.0,34.0,1
1.0,-266.0,27.0,-84.0,-1.0,31.0,1
-1.0,-272.0,22.0,-90.0,-5.0,33.0,1
-4.0,-272.0,20.0,-98.0,-10.0,29.0,1
-8.0,-262.0,18.0,-101.0,-14.0,27.0,1
9.0,-263.0,42.0,-103.0,-19.0,24.0,1
9.0,-265.0,31.0,-103.0,-24.0,24.0,1
-8.0,-257.0,25.0,-103.0,-30.0,17.0,1
-3.0,-264.0,22.0,-103.0,-34.0,15.0,1
4.0,-261.0,34.0,-101.0,-38.0,8.0,1
-11.0,-264.0,33.0,-101.0,-41.0,5.0,1
4.0,-260.0,33.0,-106.0,-43.0,-3.0,1
-7.0,-265.0,32.0,-110.0,-47.0,-7.0,1
8.0,-250.0,48.0,-115.0,-51.0,-20.0,1
2.0,-260.0,37.0,-122.0,-52.0,-26.0,1
-9.0,-260.0,33.0,-131.0,-56.0,-36.0,1
-2.0,-255.0,58.0,-137.0,-58.0,-42.0,1
4.0,-252.0,43.0,-145.0,-62.0,-52.0,1
10.0,-259.0,21.0,-154.0,-65.0,-54.0,1
1.0,-251.0,38.0,-164.0,-69.0,-61.0,1
3.0,-252.0,41.0,-173.0,-76.0,-61.0,1
2.0,-252.0,40.0,-179.0,-80.0,-67.0,1
1.0,-254.0,41.0,-184.0,-86.0,-62.0,1
-1.0,-253.0,40.0,-189.0,-93.0,-62.0,1
-5.0,-256.0,37.0,-197.0,-99.0,-59.0,1
-2.0,-259.0,36.0,-207.0,-107.0,-58.0,1
-4.0,-257.0,35.0,-217.0,-116.0,-55.0,1
-6.0,-258.0,27.0,-231.0,-125.0,-55.0,1
-6.0,-248.0,25.0,-247.0,-132.0,-52.0,1
-3.0,-254.0,21.0,-264.0,-138.0,-51.0,1
-3.0,-253.0,19.0,-285.0,-144.0,-46.0,1
1.0,-256.0,16.0,-305.0,-146.0,-46.0,1
3.0,-254.0,12.0,-325.0,-146.0,-41.0,1
5.0,-258.0,9.0,-352.0,-139.0,-44.0,1
13.0,-255.0,4.0,-373.0,-129.0,-44.0,1
17.0,-256.0,1.0,-396.0,-114.0,-49.0,1
24.0,-261.0,-8.0,-420.0,-93.0,-51.0,1
30.0,-262.0,-13.0,-444.0,-67.0,-59.0,1
37.0,-257.0,-18.0,-467.0,-34.0,-62.0,1
40.0,-255.0,-23.0,-488.0,3.0,-67.0,1
45.0,-247.0,-26.0,-504.0,48.0,-62.0,1
49.0,-243.0,-28.0,-518.0,94.0,-56.0,1
49.0,-237.0,-31.0,-533.0,146.0,-36.0,1
51.0,-230.0,-32.0,-545.0,213.0,-17.0,1
54.0,-227.0,-31.0,-554.0,273.0,12.0,1
59.0,-223.0,-27.0,-557.0,336.0,37.0,1
66.0,-229.0,-16.0,-557.0,397.0,69.0,1
67.0,-234.0,0.0,-562.0,452.0,93.0,1
67.0,-247.0,11.0,-570.0,490.0,118.0,1
62.0,-257.0,33.0,-585.0,515.0,127.0,1
58.0,-271.0,42.0,-605.0,517.0,141.0,1
52.0,-286.0,49.0,-624.0,502.0,142.0,1
44.0,-298.0,49.0,-641.0,476.0,141.0,1
33.0,-306.0,47.0,-652.0,444.0,138.0,1
23.0,-310.0,42.0,-644.0,413.0,134.0,1
8.0,-314.0,43.0,-621.0,392.0,126.0,1
10.0,-318.0,40.0,-587.0,376.0,123.0,1
-2.0,-317.0,41.0,-552.0,359.0,96.0,1
-9.0,-312.0,40.0,-514.0,338.0,60.0,1
-9.0,-306.0,44.0,-481.0,314.0,17.0,1
-13.0,-302.0,45.0,-462.0,289.0,-27.0,1
-20.0,-295.0,52.0,-457.0,259.0,-78.0,1
-21.0,-283.0,40.0,-462.0,217.0,-134.0,1
-24.0,-278.0,37.0,-474.0,192.0,-187.0,1
-30.0,-276.0,43.0,-477.0,163.0,-241.0,1
-21.0,-268.0,39.0,-471.0,132.0,-286.0,1
-19.0,-265.0,35.0,-446.0,130.0,-302.0,1
-16.0,-265.0,38.0,-423.0,123.0,-315.0,1
-9.0,-263.0,36.0,-410.0,94.0,-324.0,1
-9.0,-264.0,29.0,-406.0,63.0,-338.0,1
-4.0,-264.0,30.0,-403.0,30.0,-347.0,1
3.0,-266.0,22.0,-401.0,-10.0,-361.0,1
8.0,-266.0,25.0,-387.0,-48.0,-372.0,1
15.0,-266.0,22.0,-363.0,-81.0,-386.0,1
26.0,-266.0,19.0,-339.0,-101.0,-394.0,1
33.0,-265.0,18.0,-308.0,-108.0,-395.0,1
34.0,-265.0,17.0,-276.0,-110.0,-396.0,1
41.0,-262.0,16.0,-244.0,-114.0,-402.0,1
43.0,-263.0,18.0,-212.0,-112.0,-400.0,1
48.0,-257.0,22.0,-181.0,-119.0,-400.0,1
49.0,-254.0,12.0,-161.0,-109.0,-398.0,1
50.0,-258.0,17.0,-142.0,-101.0,-390.0,1
56.0,-254.0,8.0,-114.0,-117.0,-380.0,1
