ax,ay,az,gx,gy,gz,label
8.0,-256.0,-56.0,747.0,-103.0,727.0,1
13.0,-249.0,-62.0,607.0,-101.0,681.0,1
18.0,-243.0,-66.0,425.0,-125.0,640.0,1
20.0,-239.0,-78.0,221.0,-162.0,606.0,1
31.0,-231.0,-82.0,22.0,-196.0,579.0,1
41.0,-237.0,-86.0,-153.0,-216.0,541.0,1
44.0,-231.0,-93.0,-295.0,-212.0,494.0,1
53.0,-228.0,-101.0,-403.0,-181.0,445.0,1
61.0,-230.0,-108.0,-475.0,-120.0,394.0,1
67.0,-219.0,-108.0,-517.0,-31.0,346.0,1
77.0,-215.0,-114.0,-529.0,83.0,300.0,1
85.0,-213.0,-111.0,-511.0,212.0,254.0,1
97.0,-200.0,-108.0,-469.0,341.0,212.0,1
95.0,-191.0,-108.0,-407.0,457.0,170.0,1
96.0,-183.0,-94.0,-339.0,548.0,141.0,1
95.0,-174.0,-86.0,-280.0,605.0,121.0,1
89.0,-168.0,-76.0,-230.0,625.0,106.0,1
87.0,-178.0,-76.0,-195.0,613.0,94.0,1
82.0,-182.0,-66.0,-177.0,580.0,88.0,1
76.0,-194.0,-56.0,-179.0,540.0,95.0,1
66.0,-216.0,-46.0,-193.0,494.0,119.0,1
48.0,-238.0,-44.0,-210.0,440.0,152.0,1
38.0,-263.0,-41.0,-223.0,384.0,182.0,1
16.0,-285.0,-44.0,-232.0,327.0,208.0,1
3.0,-308.0,-39.0,-239.0,274.0,236.0,1
-9.0,-321.0,-47.0,-244.0,221.0,270.0,1
-17.0,-338.0,-46.0,-241.0,165.0,303.0,1
-37.0,-341.0,-51.0,-230.0,109.0,332.0,1
-51.0,-344.0,-56.0,-211.0,59.0,355.0,1
-61.0,-343.0,-62.0,-183.0,16.0,368.0,1
-63.0,-340.0,-64.0,-143.0,-19.0,364.0,1
-64.0,-333.0,-68.0,-92.0,-41.0,339.0,1
-64.0,-321.0,-64.0,-29.0,-50.0,298.0,1
-53.0,-314.0,-61.0,49.0,-46.0,243.0,1
-43.0,-304.0,-57.0,139.0,-32.0,162.0,1
-36.0,-289.0,-54.0,238.0,-9.0,86.0,1
-23.0,-275.0,-51.0,337.0,15.0,8.0,1
-19.0,-259.0,-40.0,424.0,35.0,-55.0,1
-6.0,-254.0,-42.0,480.0,49.0,-110.0,1
3.0,-242.0,-40.0,499.0,52.0,-166.0,1
10.0,-233.0,-43.0,477.0,44.0,-220.0,1
14.0,-223.0,-42.0,419.0,26.0,-267.0,1
25.0,-218.0,-42.0,334.0,2.0,-303.0,1
23.0,-208.0,-44.0,234.0,-27.0,-331.0,1
30.0,-208.0,-44.0,129.0,-54.0,-347.0,1
34.0,-207.0,-38.0,22.0,-78.0,-355.0,1
33.0,-208.0,-42.0,-73.0,-92.0,-353.0,1
28.0,-207.0,-38.0,-155.0,-95.0,-345.0,1
27.0,-213.0,-32.0,-212.0,-90.0,-333.0,1
27.0,-223.0,-36.0,-246.0,-77.0,-319.0,1
24.0,-225.0,-32.0,-253.0,-59.0,-308.0,1
18.0,-226.0,-31.0,-233.0,-40.0,-297.0,1
12.0,-232.0,-27.0,-202.0,-23.0,-285.0,1
11.0,-234.0,-22.0,-161.0,-10.0,-275.0,1
10.0,-235.0,-20.0,-119.0,-2.0,-264.0,1
11.0,-238.0,-22.0,-77.0,4.0,-250.0,1
8.0,-239.0,-17.0,-40.0,6.0,-234.0,1
9.0,-238.0,-13.0,-11.0,4.0,-220.0,1
10.0,-238.0,-15.0,9.0,-1.0,-208.0,1
11.0,-234.0,-12.0,18.0,-6.0,-197.0,1
14.0,-238.0,-13.0,21.0,-16.0,-185.0,1
12.0,-235.0,-14.0,17.0,-28.0,-175.0,1
15.0,-242.0,-15.0,16.0,-42.0,-167.0,1
14.0,-238.0,-17.0,17.0,-57.0,-159.0,1
14.0,-239.0,-14.0,20.0,-73.0,-153.0,1
16.0,-239.0,-17.0,31.0,-91.0,-148.0,1
17.0,-238.0,-16.0,46.0,-107.0,-143.0,1
14.0,-231.0,-17.0,60.0,-122.0,-139.0,1
13.0,-233.0,-16.0,82.0,-135.0,-137.0,1
17.0,-235.0,-15.0,103.0,-147.0,-137.0,1
15.0,-231.0,-19.0,123.0,-160.0,-132.0,1
18.0,-227.0,-12.0,139.0,-169.0,-127.0,1
15.0,-227.0,-6.0,153.0,-173.0,-121.0,1
18.0,-226.0,-6.0,161.0,-173.0,-114.0,1
22.0,-226.0,-6.0,163.0,-172.0,-105.0,1
20.0,-227.0,-1.0,167.0,-163.0,-89.0,1
18.0,-224.0,2.0,175.0,-153.0,-69.0,1
15.0,-223.0,7.0,183.0,-148.0,-51.0,1
10.0,-224.0,9.0,184.0,-153.0,-37.0,1
6.0,-220.0,14.0,175.0,-167.0,-26.0,1
11.0,-226.0,20.0,160.0,-190.0,-11.0,1
18.0,-215.0,21.0,148.0,-210.0,2.0,1
21.0,-214.0,27.0,141.0,-218.0,23.0,1
23.0,-215.0,25.0,134.0,-213.0,47.0,1
22.0,-212.0,28.0,133.0,-204.0,74.0,1
28.0,-212.0,24.0,133.0,-193.0,98.0,1
31.0,-215.0,19.0,133.0,-184.0,116.0,1
32.0,-216.0,17.0,131.0,-176.0,136.0,1
31.0,-221.0,13.0,121.0,-171.0,155.0,1
