ax,ay,az,gx,gy,gz,label
-4.0,-255.0,21.0,-76.0,61.0,12.0,0
-1.0,-256.0,17.0,-66.0,59.0,14.0,0
0.0,-252.0,22.0,-64.0,59.0,14.0,0
1.0,-250.0,18.0,-71.0,59.0,11.0,0
2.0,-248.0,18.0,-85.0,60.0,9.0,0
4.0,-254.0,23.0,-106.0,64.0,7.0,0
4.0,-252.0,21.0,-128.0,71.0,3.0,0
5.0,-253.0,23.0,-150.0,77.0,0.0,0
5.0,-253.0,19.0,-168.0,83.0,-3.0,0
5.0,-251.0,22.0,-180.0,86.0,-4.0,0
5.0,-255.0,21.0,-188.0,89.0,-5.0,0
0.0,-256.0,19.0,-190.0,90.0,-4.0,0
3.0,-256.0,17.0,-189.0,91.0,-6.0,0
4.0,-253.0,15.0,-185.0,92.0,-7.0,0
0.0,-252.0,14.0,-182.0,94.0,-8.0,0
-1.0,-260.0,14.0,-183.0,95.0,-9.0,0
0.0,-251.0,9.0,-190.0,95.0,-13.0,0
0.0,-253.0,10.0,-202.0,98.0,-16.0,0
-1.0,-251.0,9.0,-217.0,103.0,-21.0,0
1.0,-253.0,11.0,-238.0,110.0,-28.0,0
-1.0,-256.0,11.0,-259.0,119.0,-34.0,0
0.0,-256.0,10.0,-275.0,128.0,-41.0,0
-6.0,-258.0,14.0,-282.0,139.0,-48.0,0
-1.0,-259.0,14.0,-277.0,150.0,-54.0,0
0.0,-260.0,12.0,-263.0,159.0,-62.0,0
2.0,-260.0,12.0,-243.0,170.0,-69.0,0
0.0,-257.0,13.0,-224.0,181.0,-76.0,0
2.0,-252.0,9.0,-213.0,192.0,-81.0,0
1.0,-253.0,11.0,-212.0,201.0,-87.0,0
2.0,-249.0,9.0,-222.0,206.0,-92.0,0
1.0,-249.0,9.0,-236.0,210.0,-96.0,0
2.0,-249.0,10.0,-257.0,209.0,-102.0,0
2.0,-250.0,16.0,-277.0,210.0,-104.0,0
2.0,-251.0,16.0,-295.0,206.0,-105.0,0
2.0,-248.0,15.0,-311.0,197.0,-106.0,0
0.0,-248.0,9.0,-327.0,189.0,-107.0,0
1.0,-247.0,10.0,-344.0,180.0,-104.0,0
-1.0,-247.0,4.0,-363.0,172.0,-102.0,0
1.0,-248.0,4.0,-384.0,164.0,-98.0,0
0.0,-248.0,9.0,-402.0,159.0,-94.0,0
0.0,-249.0,3.0,-416.0,154.0,-89.0,0
0.0,-251.0,5.0,-423.0,153.0,-84.0,0
-1.0,-251.0,3.0,-425.0,151.0,-78.0,0
-4.0,-252.0,7.0,-423.0,149.0,-72.0,0
0.0,-253.0,6.0,-415.0,146.0,-67.0,0
1.0,-254.0,6.0,-405.0,144.0,-61.0,0
-6.0,-254.0,5.0,-393.0,139.0,-56.0,0
-4.0,-258.0,2.0,-383.0,132.0,-52.0,0
-7.0,-254.0,1.0,-378.0,126.0,-49.0,0
-6.0,-256.0,1.0,-379.0,118.0,-44.0,0
-3.0,-257.0,2.0,-380.0,110.0,-40.0,0
-5.0,-258.0,-3.0,-384.0,101.0,-34.0,0
-5.0,-257.0,-7.0,-387.0,92.0,-29.0,0
-6.0,-258.0,-2.0,-388.0,84.0,-24.0,0
-1.0,-261.0,-5.0,-384.0,76.0,-18.0,0
-1.0,-263.0,-8.0,-376.0,72.0,-13.0,0
-4.0,-263.0,-7.0,-366.0,65.0,-9.0,0
-6.0,-260.0,-9.0,-357.0,57.0,-4.0,0
-7.0,-260.0,-12.0,-347.0,48.0,2.0,0
-6.0,-252.0,-11.0,-339.0,36.0,7.0,0
-1.0,-258.0,-14.0,-335.0,27.0,13.0,0
-5.0,-257.0,-15.0,-338.0,19.0,15.0,0
-3.0,-255.0,-17.0,-345.0,14.0,20.0,0
1.0,-255.0,-16.0,-359.0,14.0,27.0,0
1.0,-259.0,-18.0,-378.0,16.0,29.0,0
4.0,-260.0,-19.0,-398.0,19.0,31.0,0
6.0,-262.0,-16.0,-419.0,25.0,31.0,0
6.0,-263.0,-16.0,-435.0,32.0,29.0,0
6.0,-265.0,-18.0,-445.0,38.0,28.0,0
8.0,-264.0,-16.0,-449.0,44.0,24.0,0
6.0,-264.0,-12.0,-452.0,51.0,19.0,0
8.0,-265.0,-18.0,-458.0,60.0,16.0,0
10.0,-261.0,-22.0,-472.0,76.0,12.0,0
7.0,-263.0,-25.0,-497.0,97.0,8.0,0
7.0,-259.0,-29.0,-528.0,115.0,7.0,0
8.0,-261.0,-30.0,-556.0,130.0,7.0,0
9.0,-260.0,-34.0,-586.0,135.0,6.0,0
8.0,-262.0,-33.0,-604.0,132.0,3.0,0
8.0,-258.0,-29.0,-607.0,127.0,-3.0,0
9.0,-263.0,-25.0,-594.0,121.0,-6.0,0
5.0,-256.0,-29.0,-567.0,119.0,-14.0,0
9.0,-270.0,-19.0,-526.0,123.0,-17.0,0
10.0,-271.0,-13.0,-473.0,134.0,-19.0,0
5.0,-273.0,-16.0,-409.0,149.0,-22.0,0
4.0,-277.0,-18.0,-337.0,162.0,-24.0,0
2.0,-276.0,-18.0,-259.0,171.0,-31.0,0
1.0,-276.0,-20.0,-181.0,176.0,-31.0,0
0.0,-273.0,-19.0,-110.0,179.0,-34.0,0
0.0,-272.0,-23.0,-50.0,177.0,-36.0,0
-2.0,-269.0,-29.0,-1.0,172.0,-36.0,0
-2.0,-266.0,-25.0,35.0,162.0,-35.0,0
-1.0,-260.0,-30.0,60.0,148.0,-34.0,0
1.0,-264.0,-33.0,73.0,133.0,-34.0,0
0.0,-255.0,-34.0,78.0,121.0,-35.0,0
0.0,-256.0,-33.0,77.0,110.0,-35.0,0
0.0,-256.0,-35.0,72.0,104.0,-34.0,0
0.0,-251.0,-34.0,62.0,99.0,-31.0,0
0.0,-256.0,-31.0,51.0,98.0,-29.0,0
-2.0,-249.0,-28.0,37.0,97.0,-24.0,0
-4.0,-251.0,-28.0,26.0,98.0,-19.0,0
-3.0,-251.0,-26.0,16.0,97.0,-15.0,0
-6.0,-251.0,-25.0,10.0,95.0,-9.0,0
-11.0,-264.0,-26.0,7.0,91.0,-3.0,0
-6.0,-248.0,-21.0,6.0,84.0,2.0,0
-8.0,-246.0,-33.0,6.0,80.0,6.0,0
-5.0,-252.0,-39.0,7.0,76.0,9.0,0
-5.0,-258.0,-22.0,7.0,70.0,9.0,0
-8.0,-251.0,-20.0,10.0,63.0,7.0,0
-6.0,-250.0,-19.0,8.0,50.0,5.0,0
-2.0,-255.0,-18.0,6.0,39.0,5.0,0
-6.0,-252.0,-20.0,2.0,30.0,1.0,0
-10.0,-246.0,-16.0,-3.0,22.0,-1.0,0
-5.0,-259.0,-22.0,-5.0,19.0,-1.0,0
1.0,-253.0,-20.0,-7.0,19.0,0.0,0
-1.0,-253.0,-27.0,-7.0,24.0,4.0,0
2.0,-252.0,-23.0,-7.0,29.0,4.0,0
3.0,-253.0,-28.0,-9.0,36.0,4.0,0
1.0,-242.0,-26.0,-13.0,41.0,3.0,0
2.0,-248.0,-24.0,-18.0,42.0,3.0,0
-1.0,-261.0,-29.0,-25.0,42.0,1.0,0
4.0,-252.0,-24.0,-33.0,39.0,-2.0,0
6.0,-254.0,-18.0,-42.0,32.0,-3.0,0
1.0,-258.0,-28.0,-51.0,23.0,-5.0,0
0.0,-258.0,-31.0,-58.0,17.0,-5.0,0
-3.0,-259.0,-20.0,-63.0,7.0,-5.0,0
-2.0,-258.0,-27.0,-61.0,-2.0,-3.0,0
0.0,-257.0,-27.0,-53.0,-11.0,-1.0,0
-2.0,-262.0,-34.0,-42.0,-19.0,-1.0,0
-5.0,-258.0,-25.0,-26.0,-25.0,1.0,0
-5.0,-256.0,-21.0,-11.0,-30.0,5.0,0
-4.0,-259.0,-24.0,5.0,-37.0,6.0,0
-9.0,-258.0,-19.0,15.0,-44.0,8.0,0
-14.0,-259.0,-18.0,19.0,-50.0,11.0,0
-16.0,-269.0,-28.0,20.0,-56.0,13.0,0
-4.0,-264.0,-43.0,20.0,-59.0,16.0,0
0.0,-273.0,-27.0,19.0,-57.0,17.0,0
-9.0,-258.0,-21.0,19.0,-58.0,19.0,0
-7.0,-264.0,-15.0,23.0,-56.0,21.0,0
1.0,-261.0,-7.0,25.0,-58.0,20.0,0
-11.0,-259.0,-6.0,29.0,-58.0,20.0,0
-8.0,-251.0,-26.0,33.0,-60.0,20.0,0
-6.0,-259.0,-17.0,37.0,-62.0,21.0,0
-7.0,-261.0,-19.0,41.0,-65.0,23.0,0
-3.0,-253.0,-20.0,42.0,-67.0,24.0,0
0.0,-254.0,-22.0,40.0,-70.0,24.0,0
-2.0,-253.0,-21.0,39.0,-72.0,24.0,0
0.0,-249.0,-22.0,35.0,-77.0,24.0,0
8.0,-249.0,-21.0,30.0,-80.0,23.0,0
5.0,-254.0,-37.0,26.0,-86.0,25.0,0
6.0,-252.0,-12.0,21.0,-89.0,24.0,0
7.0,-252.0,-13.0,16.0,-92.0,24.0,0
7.0,-238.0,-24.0,11.0,-96.0,25.0,0
-1.0,-252.0,-16.0,5.0,-98.0,26.0,0
-2.0,-252.0,-25.0,0.0,-100.0,26.0,0
-6.0,-257.0,-16.0,-3.0,-102.0,24.0,0
-9.0,-247.0,-30.0,-4.0,-103.0,22.0,0
13.0,-257.0,-37.0,-6.0,-102.0,18.0,0
-2.0,-257.0,-25.0,-7.0,-102.0,18.0,0
0.0,-255.0,-20.0,-5.0,-101.0,15.0,0
-1.0,-255.0,-19.0,-4.0,-97.0,13.0,0
0.0,-256.0,-22.0,-3.0,-94.0,10.0,0
-6.0,-254.0,-19.0,-1.0,-91.0,8.0,0
4.0,-257.0,-18.0,0.0,-88.0,8.0,0
-9.0,-255.0,-20.0,2.0,-87.0,5.0,0
0.0,-251.0,-11.0,1.0,-87.0,5.0,0
-1.0,-244.0,-18.0,0.0,-85.0,4.0,0
0.0,-254.0,-18.0,0.0,-84.0,0.0,0
5.0,-263.0,-15.0,-3.0,-83.0,0.0,0
2.0,-258.0,-22.0,-6.0,-80.0,-3.0,0
1.0,-255.0,-19.0,-10.0,-79.0,-4.0,0
1.0,-258.0,-20.0,-10.0,-75.0,-5.0,0
-1.0,-256.0,-17.0,-9.0,-73.0,-5.0,0
3.0,-256.0,-21.0,-7.0,-71.0,-7.0,0
1.0,-260.0,-22.0,-5.0,-68.0,-7.0,0
0.0,-259.0,-23.0,-3.0,-66.0,-6.0,0
0.0,-259.0,-19.0,-3.0,-64.0,-6.0,0
0.0,-257.0,-18.0,0.0,-62.0,-4.0,0
6.0,-256.0,-23.0,3.0,-61.0,-4.0,0
