ax,ay,az,gx,gy,gz,label
9.0,-255.0,14.0,-4.0,123.0,22.0,1
11.0,-256.0,17.0,-2.0,123.0,22.0,1
6.0,-254.0,20.0,2.0,123.0,21.0,1
9.0,-257.0,17.0,1.0,125.0,22.0,1
7.0,-257.0,20.0,3.0,125.0,19.0,1
8.0,-249.0,19.0,1.0,123.0,21.0,1
7.0,-254.0,15.0,1.0,125.0,19.0,1
5.0,-256.0,16.0,1.0,124.0,19.0,1
8.0,-256.0,15.0,4.0,124.0,19.0,1
4.0,-258.0,17.0,6.0,123.0,23.0,1
4.0,-254.0,17.0,8.0,124.0,24.0,1
5.0,-253.0,16.0,11.0,125.0,30.0,1
4.0,-252.0,16.0,13.0,128.0,32.0,1
6.0,-250.0,12.0,14.0,131.0,39.0,1
5.0,-251.0,16.0,12.0,133.0,42.0,1
7.0,-248.0,11.0,9.0,137.0,46.0,1
7.0,-247.0,13.0,3.0,141.0,48.0,1
9.0,-246.0,12.0,-4.0,144.0,48.0,1
7.0,-251.0,12.0,-9.0,145.0,48.0,1
7.0,-251.0,11.0,-16.0,148.0,46.0,1
5.0,-253.0,11.0,-19.0,150.0,45.0,1
4.0,-253.0,13.0,-23.0,151.0,46.0,1
6.0,-251.0,15.0,-25.0,151.0,46.0,1
5.0,-254.0,15.0,-25.0,151.0,46.0,1
4.0,-254.0,15.0,-23.0,149.0,45.0,1
7.0,-256.0,13.0,-22.0,148.0,46.0,1
3.0,-254.0,18.0,-20.0,145.0,48.0,1
1.0,-257.0,16.0,-21.0,140.0,50.0,1
0.0,-253.0,15.0,-23.0,135.0,52.0,1
0.0,-253.0,18.0,-24.0,130.0,56.0,1
2.0,-257.0,12.0,-27.0,125.0,59.0,1
4.0,-255.0,10.0,-31.0,121.0,63.0,1
3.0,-254.0,14.0,-39.0,120.0,64.0,1
4.0,-252.0,15.0,-43.0,119.0,65.0,1
6.0,-252.0,13.0,-44.0,118.0,65.0,1
8.0,-248.0,19.0,-48.0,119.0,65.0,1
7.0,-246.0,12.0,-50.0,119.0,62.0,1
6.0,-249.0,17.0,-51.0,118.0,60.0,1
